movie_id,title,dbpedia_uri,wikidata_id,directors,actors,genres,awards,runtime,budget,box_office,country
1,Toy Story (1995),http://dbpedia.org/resource/Toy_Story,Q3966421,"[{""uri"": ""http://dbpedia.org/resource/Director2_Toy Story"", ""name"": ""Director 2 of Toy Story""}, {""uri"": ""http://www.wikidata.org/entity/Q3966423"", ""name"": ""Director B of Q3966421""}, {""uri"": ""http://www.wikidata.org/entity/Q3966422"", ""name"": ""Director A of Q3966421""}, {""uri"": ""http://dbpedia.org/resource/Director1_Toy Story"", ""name"": ""Director 1 of Toy Story""}]","[{""uri"": ""http://www.wikidata.org/entity/Q3966426"", ""name"": ""Actor C in Q3966421""}, {""uri"": ""http://www.wikidata.org/entity/Q3966425"", ""name"": ""Actor B in Q3966421""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Toy Story"", ""name"": ""Actor 3 in Toy Story""}, {""uri"": ""http://www.wikidata.org/entity/Q3966424"", ""name"": ""Actor A in Q3966421""}, {""uri"": ""http://dbpedia.org/resource/Actor2_Toy Story"", ""name"": ""Actor 2 in Toy Story""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Toy Story"", ""name"": ""Actor 1 in Toy Story""}]","[""Action"", ""http://dbpedia.org/resource/Genre2_Toy Story"", ""http://dbpedia.org/resource/Genre1_Toy Story"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q3966429"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q3966430"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
2,GoldenEye (1995),http://dbpedia.org/resource/GoldenEye,Q1758116,"[{""uri"": ""http://www.wikidata.org/entity/Q1758118"", ""name"": ""Director B of Q1758116""}, {""uri"": ""http://dbpedia.org/resource/Director1_GoldenEye"", ""name"": ""Director 1 of GoldenEye""}, {""uri"": ""http://www.wikidata.org/entity/Q1758117"", ""name"": ""Director A of Q1758116""}, {""uri"": ""http://dbpedia.org/resource/Director2_GoldenEye"", ""name"": ""Director 2 of GoldenEye""}]","[{""uri"": ""http://www.wikidata.org/entity/Q1758121"", ""name"": ""Actor C in Q1758116""}, {""uri"": ""http://dbpedia.org/resource/Actor3_GoldenEye"", ""name"": ""Actor 3 in GoldenEye""}, {""uri"": ""http://dbpedia.org/resource/Actor2_GoldenEye"", ""name"": ""Actor 2 in GoldenEye""}, {""uri"": ""http://dbpedia.org/resource/Actor1_GoldenEye"", ""name"": ""Actor 1 in GoldenEye""}, {""uri"": ""http://www.wikidata.org/entity/Q1758119"", ""name"": ""Actor A in Q1758116""}, {""uri"": ""http://www.wikidata.org/entity/Q1758120"", ""name"": ""Actor B in Q1758116""}]","[""Action"", ""http://dbpedia.org/resource/Genre2_GoldenEye"", ""http://dbpedia.org/resource/Genre1_GoldenEye"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q1758124"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q1758125"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
3,Four Rooms (1995),http://dbpedia.org/resource/Four_Rooms,Q5161833,"[{""uri"": ""http://www.wikidata.org/entity/Q5161834"", ""name"": ""Director A of Q5161833""}, {""uri"": ""http://dbpedia.org/resource/Director2_Four Rooms"", ""name"": ""Director 2 of Four Rooms""}, {""uri"": ""http://dbpedia.org/resource/Director1_Four Rooms"", ""name"": ""Director 1 of Four Rooms""}, {""uri"": ""http://www.wikidata.org/entity/Q5161835"", ""name"": ""Director B of Q5161833""}]","[{""uri"": ""http://dbpedia.org/resource/Actor3_Four Rooms"", ""name"": ""Actor 3 in Four Rooms""}, {""uri"": ""http://www.wikidata.org/entity/Q5161836"", ""name"": ""Actor A in Q5161833""}, {""uri"": ""http://www.wikidata.org/entity/Q5161838"", ""name"": ""Actor C in Q5161833""}, {""uri"": ""http://dbpedia.org/resource/Actor2_Four Rooms"", ""name"": ""Actor 2 in Four Rooms""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Four Rooms"", ""name"": ""Actor 1 in Four Rooms""}, {""uri"": ""http://www.wikidata.org/entity/Q5161837"", ""name"": ""Actor B in Q5161833""}]","[""http://dbpedia.org/resource/Genre2_Four Rooms"", ""Action"", ""http://dbpedia.org/resource/Genre1_Four Rooms"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q5161841"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q5161842"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
4,Get Shorty (1995),http://dbpedia.org/resource/Get_Shorty,Q7617814,"[{""uri"": ""http://www.wikidata.org/entity/Q7617816"", ""name"": ""Director B of Q7617814""}, {""uri"": ""http://dbpedia.org/resource/Director1_Get Shorty"", ""name"": ""Director 1 of Get Shorty""}, {""uri"": ""http://dbpedia.org/resource/Director2_Get Shorty"", ""name"": ""Director 2 of Get Shorty""}, {""uri"": ""http://www.wikidata.org/entity/Q7617815"", ""name"": ""Director A of Q7617814""}]","[{""uri"": ""http://dbpedia.org/resource/Actor2_Get Shorty"", ""name"": ""Actor 2 in Get Shorty""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Get Shorty"", ""name"": ""Actor 3 in Get Shorty""}, {""uri"": ""http://www.wikidata.org/entity/Q7617817"", ""name"": ""Actor A in Q7617814""}, {""uri"": ""http://www.wikidata.org/entity/Q7617819"", ""name"": ""Actor C in Q7617814""}, {""uri"": ""http://www.wikidata.org/entity/Q7617818"", ""name"": ""Actor B in Q7617814""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Get Shorty"", ""name"": ""Actor 1 in Get Shorty""}]","[""http://dbpedia.org/resource/Genre1_Get Shorty"", ""Action"", ""http://dbpedia.org/resource/Genre2_Get Shorty"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q7617822"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q7617823"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
5,Copycat (1995),http://dbpedia.org/resource/Copycat,Q5466210,"[{""uri"": ""http://dbpedia.org/resource/Director2_Copycat"", ""name"": ""Director 2 of Copycat""}, {""uri"": ""http://www.wikidata.org/entity/Q5466211"", ""name"": ""Director A of Q5466210""}, {""uri"": ""http://www.wikidata.org/entity/Q5466212"", ""name"": ""Director B of Q5466210""}, {""uri"": ""http://dbpedia.org/resource/Director1_Copycat"", ""name"": ""Director 1 of Copycat""}]","[{""uri"": ""http://www.wikidata.org/entity/Q5466213"", ""name"": ""Actor A in Q5466210""}, {""uri"": ""http://www.wikidata.org/entity/Q5466214"", ""name"": ""Actor B in Q5466210""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Copycat"", ""name"": ""Actor 1 in Copycat""}, {""uri"": ""http://www.wikidata.org/entity/Q5466215"", ""name"": ""Actor C in Q5466210""}, {""uri"": ""http://dbpedia.org/resource/Actor2_Copycat"", ""name"": ""Actor 2 in Copycat""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Copycat"", ""name"": ""Actor 3 in Copycat""}]","[""http://dbpedia.org/resource/Genre2_Copycat"", ""http://dbpedia.org/resource/Genre1_Copycat"", ""Action"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q5466218"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q5466219"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://dbpedia.org/resource/Shanghai_Triad,Q4949504,"[{""uri"": ""http://www.wikidata.org/entity/Q4949506"", ""name"": ""Director B of Q4949504""}, {""uri"": ""http://www.wikidata.org/entity/Q4949505"", ""name"": ""Director A of Q4949504""}, {""uri"": ""http://dbpedia.org/resource/Director2_Shanghai Triad"", ""name"": ""Director 2 of Shanghai Triad""}, {""uri"": ""http://dbpedia.org/resource/Director1_Shanghai Triad"", ""name"": ""Director 1 of Shanghai Triad""}]","[{""uri"": ""http://dbpedia.org/resource/Actor2_Shanghai Triad"", ""name"": ""Actor 2 in Shanghai Triad""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Shanghai Triad"", ""name"": ""Actor 3 in Shanghai Triad""}, {""uri"": ""http://www.wikidata.org/entity/Q4949507"", ""name"": ""Actor A in Q4949504""}, {""uri"": ""http://www.wikidata.org/entity/Q4949509"", ""name"": ""Actor C in Q4949504""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Shanghai Triad"", ""name"": ""Actor 1 in Shanghai Triad""}, {""uri"": ""http://www.wikidata.org/entity/Q4949508"", ""name"": ""Actor B in Q4949504""}]","[""http://dbpedia.org/resource/Genre2_Shanghai Triad"", ""http://dbpedia.org/resource/Genre1_Shanghai Triad"", ""Action"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q4949512"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q4949513"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
7,Twelve Monkeys (1995),http://dbpedia.org/resource/Twelve_Monkeys,Q2948359,"[{""uri"": ""http://www.wikidata.org/entity/Q2948361"", ""name"": ""Director B of Q2948359""}, {""uri"": ""http://dbpedia.org/resource/Director2_Twelve Monkeys"", ""name"": ""Director 2 of Twelve Monkeys""}, {""uri"": ""http://dbpedia.org/resource/Director1_Twelve Monkeys"", ""name"": ""Director 1 of Twelve Monkeys""}, {""uri"": ""http://www.wikidata.org/entity/Q2948360"", ""name"": ""Director A of Q2948359""}]","[{""uri"": ""http://www.wikidata.org/entity/Q2948362"", ""name"": ""Actor A in Q2948359""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Twelve Monkeys"", ""name"": ""Actor 3 in Twelve Monkeys""}, {""uri"": ""http://www.wikidata.org/entity/Q2948363"", ""name"": ""Actor B in Q2948359""}, {""uri"": ""http://www.wikidata.org/entity/Q2948364"", ""name"": ""Actor C in Q2948359""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Twelve Monkeys"", ""name"": ""Actor 1 in Twelve Monkeys""}, {""uri"": ""http://dbpedia.org/resource/Actor2_Twelve Monkeys"", ""name"": ""Actor 2 in Twelve Monkeys""}]","[""http://dbpedia.org/resource/Genre2_Twelve Monkeys"", ""http://dbpedia.org/resource/Genre1_Twelve Monkeys"", ""Action"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q2948367"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q2948368"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
8,Babe (1995),http://dbpedia.org/resource/Babe,Q7126575,"[{""uri"": ""http://dbpedia.org/resource/Director1_Babe"", ""name"": ""Director 1 of Babe""}, {""uri"": ""http://dbpedia.org/resource/Director2_Babe"", ""name"": ""Director 2 of Babe""}, {""uri"": ""http://www.wikidata.org/entity/Q7126576"", ""name"": ""Director A of Q7126575""}, {""uri"": ""http://www.wikidata.org/entity/Q7126577"", ""name"": ""Director B of Q7126575""}]","[{""uri"": ""http://www.wikidata.org/entity/Q7126578"", ""name"": ""Actor A in Q7126575""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Babe"", ""name"": ""Actor 1 in Babe""}, {""uri"": ""http://www.wikidata.org/entity/Q7126579"", ""name"": ""Actor B in Q7126575""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Babe"", ""name"": ""Actor 3 in Babe""}, {""uri"": ""http://www.wikidata.org/entity/Q7126580"", ""name"": ""Actor C in Q7126575""}, {""uri"": ""http://dbpedia.org/resource/Actor2_Babe"", ""name"": ""Actor 2 in Babe""}]","[""Drama"", ""http://dbpedia.org/resource/Genre1_Babe"", ""Action"", ""http://dbpedia.org/resource/Genre2_Babe""]","[{""uri"": ""http://www.wikidata.org/entity/Q7126583"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q7126584"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
9,Dead Man Walking (1995),http://dbpedia.org/resource/Dead_Man_Walking,Q3683043,"[{""uri"": ""http://dbpedia.org/resource/Director1_Dead Man Walking"", ""name"": ""Director 1 of Dead Man Walking""}, {""uri"": ""http://www.wikidata.org/entity/Q3683045"", ""name"": ""Director B of Q3683043""}, {""uri"": ""http://dbpedia.org/resource/Director2_Dead Man Walking"", ""name"": ""Director 2 of Dead Man Walking""}, {""uri"": ""http://www.wikidata.org/entity/Q3683044"", ""name"": ""Director A of Q3683043""}]","[{""uri"": ""http://dbpedia.org/resource/Actor1_Dead Man Walking"", ""name"": ""Actor 1 in Dead Man Walking""}, {""uri"": ""http://www.wikidata.org/entity/Q3683048"", ""name"": ""Actor C in Q3683043""}, {""uri"": ""http://www.wikidata.org/entity/Q3683047"", ""name"": ""Actor B in Q3683043""}, {""uri"": ""http://dbpedia.org/resource/Actor2_Dead Man Walking"", ""name"": ""Actor 2 in Dead Man Walking""}, {""uri"": ""http://www.wikidata.org/entity/Q3683046"", ""name"": ""Actor A in Q3683043""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Dead Man Walking"", ""name"": ""Actor 3 in Dead Man Walking""}]","[""http://dbpedia.org/resource/Genre1_Dead Man Walking"", ""Action"", ""http://dbpedia.org/resource/Genre2_Dead Man Walking"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q3683051"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q3683052"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
10,Richard III (1995),http://dbpedia.org/resource/Richard_III,Q7251498,"[{""uri"": ""http://www.wikidata.org/entity/Q7251500"", ""name"": ""Director B of Q7251498""}, {""uri"": ""http://dbpedia.org/resource/Director1_Richard III"", ""name"": ""Director 1 of Richard III""}, {""uri"": ""http://www.wikidata.org/entity/Q7251499"", ""name"": ""Director A of Q7251498""}, {""uri"": ""http://dbpedia.org/resource/Director2_Richard III"", ""name"": ""Director 2 of Richard III""}]","[{""uri"": ""http://www.wikidata.org/entity/Q7251501"", ""name"": ""Actor A in Q7251498""}, {""uri"": ""http://dbpedia.org/resource/Actor3_Richard III"", ""name"": ""Actor 3 in Richard III""}, {""uri"": ""http://dbpedia.org/resource/Actor2_Richard III"", ""name"": ""Actor 2 in Richard III""}, {""uri"": ""http://www.wikidata.org/entity/Q7251503"", ""name"": ""Actor C in Q7251498""}, {""uri"": ""http://dbpedia.org/resource/Actor1_Richard III"", ""name"": ""Actor 1 in Richard III""}, {""uri"": ""http://www.wikidata.org/entity/Q7251502"", ""name"": ""Actor B in Q7251498""}]","[""http://dbpedia.org/resource/Genre1_Richard III"", ""Action"", ""http://dbpedia.org/resource/Genre2_Richard III"", ""Drama""]","[{""uri"": ""http://www.wikidata.org/entity/Q7251506"", ""name"": ""Best Picture""}, {""uri"": ""http://www.wikidata.org/entity/Q7251507"", ""name"": ""Best Director""}]",125,50000000,100000000,United States
