movie_id,title,dbpedia_uri,wikidata_id
1,Toy Story (1995),http://dbpedia.org/resource/Toy_Story,Q3966421
2,GoldenEye (1995),http://dbpedia.org/resource/GoldenEye,Q1758116
3,Four Rooms (1995),http://dbpedia.org/resource/Four_Rooms,Q5161833
4,Get Shorty (1995),http://dbpedia.org/resource/Get_Shorty,Q7617814
5,Copycat (1995),http://dbpedia.org/resource/Copycat,Q5466210
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://dbpedia.org/resource/Shanghai_Triad,Q4949504
7,Twelve Monkeys (1995),http://dbpedia.org/resource/Twelve_Monkeys,Q2948359
8,Babe (1995),http://dbpedia.org/resource/Babe,Q7126575
9,Dead Man Walking (1995),http://dbpedia.org/resource/Dead_Man_Walking,Q3683043
10,Richard III (1995),http://dbpedia.org/resource/Richard_III,Q7251498
11,Seven (Se7en) (1995),http://dbpedia.org/resource/Seven,Q9125487
12,"Usual Suspects, The (1995)","http://dbpedia.org/resource/Usual_Suspects,_The",Q425457
13,Mighty Aphrodite (1995),http://dbpedia.org/resource/Mighty_Aphrodite,Q9840013
14,"Postino, Il (1994)","http://dbpedia.org/resource/Postino,_Il",Q929187
15,Mr. Holland's Opus (1995),http://dbpedia.org/resource/Mr._Holland's_Opus,Q9879406
16,French Twist (Gazon maudit) (1995),http://dbpedia.org/resource/French_Twist,Q8678226
17,From Dusk Till Dawn (1996),http://dbpedia.org/resource/From_Dusk_Till_Dawn,Q9070094
18,"White Balloon, The (1995)","http://dbpedia.org/resource/White_Balloon,_The",Q7428935
19,Antonia's Line (1995),http://dbpedia.org/resource/Antonia's_Line,Q9001992
20,Angels and Insects (1995),http://dbpedia.org/resource/Angels_and_Insects,Q6776138
21,Muppet Treasure Island (1996),http://dbpedia.org/resource/Muppet_Treasure_Island,Q909289
22,Braveheart (1995),http://dbpedia.org/resource/Braveheart,Q7772535
23,Taxi Driver (1976),http://dbpedia.org/resource/Taxi_Driver,Q4779175
24,Rumble in the Bronx (1995),http://dbpedia.org/resource/Rumble_in_the_Bronx,Q2722222
25,"Birdcage, The (1996)","http://dbpedia.org/resource/Birdcage,_The",Q1652752
26,"Brothers McMullen, The (1995)","http://dbpedia.org/resource/Brothers_McMullen,_The",Q3836774
